Dealer,State,SaleDate,Make,Model,Year,Mileage,SalePrice,CostPrice,Profit,PaymentType,CustomerType,DaysOnLot,CarType
Bay Area Toyota,CA,2019-07-08,Toyota,Tundra,2019,42372,29569,27159,2410,Loan,New,46,Truck
Brooklyn Toyota,NY,2021-11-15,Toyota,Camry,2013,42747,21667,18709,2958,Loan,Returning,68,Sedan
San Diego Toyota,CA,2020-10-08,Toyota,Tundra,2020,44233,27128,24799,2329,Loan,Returning,60,Truck
Brooklyn Toyota,NY,2016-07-12,Toyota,Tundra,2013,99565,16013,12872,3141,Loan,New,41,Truck
Dallas Toyota,TX,2019-08-22,Toyota,Camry,2014,78795,11970,10397,1572,Loan,New,51,Sedan
Queens Toyota,NY,2021-07-08,Toyota,Highlander,2022,7752,32617,28430,4187,Loan,Returning,51,SUV
San Diego Toyota,CA,2024-02-07,Toyota,Prius,2012,61131,26114,24778,1336,Loan,New,39,Hatchback
Toyota of Manhattan,NY,2024-09-27,Toyota,Highlander,2010,54368,15499,14202,1297,Loan,New,32,SUV
San Diego Toyota,CA,2019-10-24,Toyota,Highlander,2018,35048,20326,18765,1560,Loan,New,39,SUV
San Diego Toyota,CA,2022-07-14,Toyota,Tundra,2019,30400,28978,23581,5397,Loan,Returning,45,Truck
Brooklyn Toyota,NY,2024-08-20,Toyota,Tundra,2013,57175,19739,16986,2752,Lease,New,38,Truck
Bay Area Toyota,CA,2018-12-11,Toyota,Highlander,2017,64251,24684,21905,2779,Loan,New,37,SUV
Austin Toyota,TX,2023-08-10,Toyota,Highlander,2017,15002,30931,28846,2085,Loan,New,50,SUV
Toyota of Manhattan,NY,2021-08-24,Toyota,Rav4,2018,32610,27708,23285,4423,Lease,New,59,SUV
Bay Area Toyota,CA,2023-12-18,Toyota,Prius,2014,76914,19739,17428,2311,Loan,New,51,Hatchback
Bay Area Toyota,CA,2023-10-24,Toyota,Rav4,2013,116703,10952,10357,595,Loan,New,50,SUV
Toyota of Houston,TX,2019-06-05,Toyota,Corolla,2018,66644,27353,24200,3152,Cash,New,46,Sedan
Austin Toyota,TX,2022-01-20,Toyota,Highlander,2019,57507,23948,21366,2581,Cash,Returning,60,SUV
San Diego Toyota,CA,2015-04-07,Toyota,Corolla,2019,60445,21458,19645,1812,Loan,New,18,Sedan
Toyota of Los Angeles,CA,2021-12-01,Toyota,Prius,2016,55012,15614,13755,1859,Loan,New,35,Hatchback
Queens Toyota,NY,2019-02-12,Toyota,Corolla,2019,32752,24828,23508,1319,Cash,New,54,Sedan
Toyota of Manhattan,NY,2017-07-01,Toyota,Camry,2016,74595,22136,18477,3659,Loan,New,34,Sedan
Toyota of Houston,TX,2017-07-17,Toyota,Prius,2011,33364,18910,17249,1660,Lease,New,13,Hatchback
Austin Toyota,TX,2020-06-24,Toyota,Rav4,2016,71949,23153,21421,1731,Loan,New,30,SUV
San Diego Toyota,CA,2016-06-04,Toyota,Corolla,2023,71159,28064,23874,4190,Cash,New,57,Sedan
Bay Area Toyota,CA,2022-04-28,Toyota,Prius,2024,70289,33901,29879,4022,Loan,New,37,Hatchback
Toyota of Manhattan,NY,2017-11-24,Toyota,Rav4,2012,64119,23734,19213,4520,Loan,New,49,SUV
Brooklyn Toyota,NY,2019-01-17,Toyota,Corolla,2021,43104,36395,31847,4548,Loan,New,31,Sedan
Toyota of Manhattan,NY,2021-09-15,Toyota,Camry,2014,72208,16735,15652,1082,Cash,Returning,39,Sedan
Toyota of Houston,TX,2020-08-04,Toyota,Rav4,2022,28641,37868,30807,7060,Loan,New,81,SUV
Dallas Toyota,TX,2016-11-02,Toyota,Tundra,2014,37613,22734,18958,3776,Cash,Returning,45,Truck
Queens Toyota,NY,2022-03-18,Toyota,Camry,2012,44435,21033,19678,1355,Cash,New,57,Sedan
Toyota of Manhattan,NY,2017-07-10,Toyota,Tacoma,2013,75597,18554,14857,3697,Loan,New,37,Truck
Toyota of Manhattan,NY,2024-06-19,Toyota,Tundra,2023,53389,33581,29519,4061,Loan,New,49,Truck
Brooklyn Toyota,NY,2019-05-16,Toyota,Highlander,2014,65511,25710,22629,3081,Loan,New,78,SUV
Brooklyn Toyota,NY,2016-06-23,Toyota,Prius,2013,75061,12427,10614,1812,Loan,New,47,Hatchback
Brooklyn Toyota,NY,2015-09-19,Toyota,Prius,2018,56209,26719,24806,1912,Loan,New,47,Hatchback
Bay Area Toyota,CA,2024-01-22,Toyota,Prius,2021,53230,22591,20861,1730,Loan,New,33,Hatchback
Toyota of Manhattan,NY,2024-08-08,Toyota,Tacoma,2013,77062,16346,14034,2311,Loan,New,33,Truck
Austin Toyota,TX,2018-09-17,Toyota,Prius,2016,44071,29301,26799,2502,Cash,Returning,67,Hatchback
San Diego Toyota,CA,2020-02-13,Toyota,Camry,2019,30096,26429,22134,4295,Loan,New,34,Sedan
Bay Area Toyota,CA,2023-10-19,Toyota,Tacoma,2020,29415,33195,29162,4032,Loan,New,59,Truck
Brooklyn Toyota,NY,2023-04-15,Toyota,Tundra,2013,92009,16666,13638,3028,Loan,New,52,Truck
Toyota of Houston,TX,2024-04-10,Toyota,Highlander,2015,27773,26291,24701,1590,Loan,New,25,SUV
Dallas Toyota,TX,2022-09-10,Toyota,Camry,2023,38777,31798,27493,4305,Loan,New,31,Sedan
Bay Area Toyota,CA,2015-10-07,Toyota,Tundra,2022,34457,26244,21180,5064,Cash,New,67,Truck
Toyota of Houston,TX,2016-05-06,Toyota,Prius,2020,34169,16215,15119,1095,Loan,Returning,29,Hatchback
San Diego Toyota,CA,2017-12-05,Toyota,Highlander,2021,22793,32348,26014,6333,Cash,New,17,SUV
Queens Toyota,NY,2015-05-08,Toyota,Camry,2022,24221,35157,31946,3211,Loan,Returning,35,Sedan
Queens Toyota,NY,2021-08-07,Toyota,Prius,2011,60389,18476,16257,2218,Loan,Returning,15,Hatchback
San Diego Toyota,CA,2017-04-28,Toyota,Camry,2020,38737,34489,29717,4771,Cash,New,26,Sedan
Toyota of Houston,TX,2015-08-27,Toyota,Tacoma,2010,103320,16044,14481,1562,Loan,New,25,Truck
Bay Area Toyota,CA,2023-04-02,Toyota,Corolla,2011,78948,21236,18986,2249,Loan,Returning,51,Sedan
Queens Toyota,NY,2022-08-14,Toyota,Prius,2015,96990,17941,17015,925,Loan,Returning,50,Hatchback
Queens Toyota,NY,2023-04-06,Toyota,Rav4,2022,24076,35710,33266,2443,Lease,New,43,SUV
Toyota of Manhattan,NY,2021-09-22,Toyota,Corolla,2018,51195,33690,27023,6666,Cash,New,49,Sedan
Brooklyn Toyota,NY,2022-12-07,Toyota,Rav4,2012,71728,21829,20563,1266,Loan,Returning,44,SUV
Brooklyn Toyota,NY,2019-07-21,Toyota,Corolla,2015,49825,22822,20157,2664,Lease,New,59,Sedan
Toyota of Los Angeles,CA,2016-01-10,Toyota,Highlander,2022,49952,22908,19977,2931,Loan,New,47,SUV
Toyota of Los Angeles,CA,2020-11-09,Toyota,Highlander,2023,0,31492,25480,6011,Lease,New,46,SUV
Toyota of Manhattan,NY,2023-12-23,Toyota,Corolla,2010,107241,18594,15370,3223,Loan,New,27,Sedan
Bay Area Toyota,CA,2015-02-11,Toyota,Tundra,2010,57842,16884,15899,984,Loan,New,26,Truck
Brooklyn Toyota,NY,2017-09-23,Toyota,Rav4,2012,47206,23258,19145,4112,Loan,Returning,58,SUV
Toyota of Los Angeles,CA,2018-05-17,Toyota,Corolla,2020,11725,23861,22354,1506,Cash,New,40,Sedan
Toyota of Houston,TX,2020-08-03,Toyota,Rav4,2014,63727,25900,22615,3285,Lease,Returning,38,SUV
Queens Toyota,NY,2024-11-13,Toyota,Prius,2014,64025,19958,18804,1154,Lease,New,24,Hatchback
Toyota of Houston,TX,2023-10-10,Toyota,Camry,2016,48862,13933,13128,804,Lease,New,39,Sedan
Toyota of Los Angeles,CA,2018-09-04,Toyota,Prius,2013,67402,20460,16978,3481,Loan,New,16,Hatchback
Queens Toyota,NY,2023-07-10,Toyota,Tacoma,2017,41018,23055,21187,1867,Loan,Returning,48,Truck
Brooklyn Toyota,NY,2017-09-04,Toyota,Rav4,2014,80098,23529,21107,2422,Cash,New,35,SUV
Queens Toyota,NY,2021-10-05,Toyota,Tacoma,2016,55827,22297,20890,1407,Lease,New,28,Truck
Austin Toyota,TX,2019-11-18,Toyota,Highlander,2010,62336,17579,14331,3248,Cash,New,44,SUV
Austin Toyota,TX,2019-02-15,Toyota,Tacoma,2013,62697,20913,18462,2451,Cash,New,54,Truck
Toyota of Houston,TX,2020-07-21,Toyota,Tacoma,2019,40751,28934,25239,3695,Loan,Returning,35,Truck
Toyota of Manhattan,NY,2022-07-13,Toyota,Prius,2024,49420,31239,27440,3798,Loan,Returning,38,Hatchback
Bay Area Toyota,CA,2016-06-20,Toyota,Prius,2013,89426,15624,13101,2522,Loan,New,44,Hatchback
Queens Toyota,NY,2015-07-08,Toyota,Highlander,2012,66913,18573,16916,1657,Lease,New,21,SUV
San Diego Toyota,CA,2015-08-06,Toyota,Tundra,2018,27826,25896,21468,4427,Cash,New,43,Truck
Toyota of Manhattan,NY,2021-03-10,Toyota,Highlander,2014,92474,20320,17051,3269,Cash,New,46,SUV
San Diego Toyota,CA,2018-11-27,Toyota,Tundra,2013,40014,18015,15843,2171,Loan,New,55,Truck
Brooklyn Toyota,NY,2015-07-10,Toyota,Rav4,2024,0,35532,31156,4375,Loan,New,19,SUV
Queens Toyota,NY,2021-05-22,Toyota,Highlander,2015,89612,15383,14312,1071,Lease,New,34,SUV
Toyota of Los Angeles,CA,2022-04-15,Toyota,Highlander,2019,65502,35489,32690,2798,Cash,New,12,SUV
Queens Toyota,NY,2019-01-08,Toyota,Prius,2018,82079,16353,15451,902,Loan,New,41,Hatchback
San Diego Toyota,CA,2015-02-07,Toyota,Camry,2024,0,31377,26004,5373,Cash,New,56,Sedan
Austin Toyota,TX,2019-08-23,Toyota,Camry,2022,33350,29599,24565,5034,Lease,New,66,Sedan
Dallas Toyota,TX,2015-08-20,Toyota,Highlander,2014,47321,20056,16367,3688,Cash,New,59,SUV
Bay Area Toyota,CA,2018-10-02,Toyota,Tundra,2012,30422,18045,15267,2778,Cash,New,28,Truck
Queens Toyota,NY,2021-08-05,Toyota,Rav4,2019,85350,28818,25142,3676,Loan,New,39,SUV
Toyota of Houston,TX,2024-08-03,Toyota,Highlander,2016,110481,24130,20980,3149,Loan,New,22,SUV
Dallas Toyota,TX,2024-09-09,Toyota,Tacoma,2021,96135,24381,22925,1456,Cash,Returning,56,Truck
Austin Toyota,TX,2018-03-05,Toyota,Prius,2023,68156,22084,20495,1589,Cash,Returning,32,Hatchback
Austin Toyota,TX,2016-09-25,Toyota,Camry,2018,21170,30661,24679,5981,Loan,New,40,Sedan
Queens Toyota,NY,2017-11-15,Toyota,Tundra,2010,113248,17220,15768,1451,Cash,New,45,Truck
Bay Area Toyota,CA,2023-10-16,Toyota,Corolla,2015,79693,29311,27090,2221,Cash,New,31,Sedan
Dallas Toyota,TX,2023-10-11,Toyota,Tacoma,2023,22071,35732,32531,3201,Loan,New,34,Truck
Bay Area Toyota,CA,2020-08-23,Toyota,Corolla,2010,102944,11514,9317,2197,Loan,New,50,Sedan
Toyota of Manhattan,NY,2021-08-23,Toyota,Prius,2023,71421,21381,17799,3581,Loan,New,16,Hatchback
Toyota of Houston,TX,2021-06-20,Toyota,Prius,2012,15346,22706,19519,3186,Loan,New,44,Hatchback
Queens Toyota,NY,2015-06-27,Toyota,Corolla,2018,46971,20432,18805,1626,Cash,New,56,Sedan
Toyota of Los Angeles,CA,2020-09-24,Toyota,Rav4,2016,67949,21344,19044,2299,Loan,New,47,SUV
Bay Area Toyota,CA,2024-07-15,Toyota,Camry,2022,28444,32656,29664,2992,Cash,New,63,Sedan
Austin Toyota,TX,2024-06-19,Toyota,Tacoma,2023,57343,30303,26966,3337,Lease,Returning,38,Truck
Brooklyn Toyota,NY,2016-01-24,Toyota,Highlander,2024,21799,32015,29063,2951,Cash,Returning,12,SUV
Toyota of Los Angeles,CA,2015-04-14,Toyota,Tundra,2012,50860,15552,12636,2915,Loan,New,44,Truck
San Diego Toyota,CA,2019-07-22,Toyota,Tacoma,2013,114403,21022,19063,1958,Cash,Returning,36,Truck
Toyota of Houston,TX,2016-03-28,Toyota,Rav4,2011,84629,19116,15905,3210,Loan,New,44,SUV
Queens Toyota,NY,2019-09-25,Toyota,Rav4,2021,56853,24966,22706,2259,Lease,Returning,52,SUV
San Diego Toyota,CA,2022-02-06,Toyota,Rav4,2022,15203,27941,24374,3567,Loan,Returning,43,SUV
Dallas Toyota,TX,2018-11-01,Toyota,Tacoma,2020,11205,31343,28234,3109,Cash,New,45,Truck
San Diego Toyota,CA,2015-11-01,Toyota,Corolla,2016,58049,20211,17475,2736,Loan,New,18,Sedan
Dallas Toyota,TX,2017-07-01,Toyota,Prius,2012,65731,19038,16731,2307,Loan,New,34,Hatchback
San Diego Toyota,CA,2015-09-19,Toyota,Tundra,2019,51659,26602,22039,4562,Loan,New,37,Truck
Queens Toyota,NY,2020-10-14,Toyota,Camry,2010,83177,13517,12797,719,Loan,Returning,12,Sedan
Bay Area Toyota,CA,2016-05-05,Toyota,Camry,2010,79752,17852,14685,3166,Cash,New,35,Sedan
Toyota of Houston,TX,2017-08-02,Toyota,Corolla,2014,34254,19343,17844,1499,Loan,New,5,Sedan
Toyota of Los Angeles,CA,2018-11-08,Toyota,Camry,2019,33953,26636,24156,2480,Loan,Returning,42,Sedan
Toyota of Manhattan,NY,2020-02-05,Toyota,Corolla,2010,82458,25679,22699,2980,Loan,New,73,Sedan
Toyota of Los Angeles,CA,2022-06-26,Toyota,Tacoma,2017,52511,22918,19435,3482,Loan,Returning,62,Truck
San Diego Toyota,CA,2023-12-28,Toyota,Tacoma,2011,89588,19692,16226,3465,Cash,Returning,39,Truck
San Diego Toyota,CA,2022-12-05,Toyota,Highlander,2011,93640,10455,9327,1128,Loan,New,43,SUV
Toyota of Los Angeles,CA,2022-06-24,Toyota,Prius,2020,36130,32624,29163,3461,Loan,New,26,Hatchback
Brooklyn Toyota,NY,2019-06-15,Toyota,Tacoma,2015,33322,25324,23645,1678,Cash,New,25,Truck
Toyota of Los Angeles,CA,2017-09-04,Toyota,Corolla,2012,85356,15836,13230,2606,Cash,Returning,47,Sedan
Austin Toyota,TX,2016-03-09,Toyota,Corolla,2016,74646,17789,14342,3446,Lease,Returning,22,Sedan
Dallas Toyota,TX,2024-06-09,Toyota,Rav4,2016,18920,24898,21176,3722,Loan,Returning,38,SUV
Toyota of Los Angeles,CA,2021-05-18,Toyota,Tacoma,2018,70389,16805,13912,2892,Loan,New,59,Truck
Toyota of Los Angeles,CA,2021-09-18,Toyota,Camry,2016,48824,20671,16579,4091,Cash,New,52,Sedan
Toyota of Manhattan,NY,2015-02-16,Toyota,Camry,2017,58786,12337,10191,2145,Cash,New,30,Sedan
Toyota of Manhattan,NY,2015-06-02,Toyota,Camry,2011,46924,16339,15374,965,Loan,New,73,Sedan
Austin Toyota,TX,2019-11-21,Toyota,Tacoma,2016,20054,22255,18579,3675,Lease,New,30,Truck
Bay Area Toyota,CA,2019-05-13,Toyota,Tacoma,2011,73246,20425,16826,3599,Cash,Returning,67,Truck
Brooklyn Toyota,NY,2022-02-25,Toyota,Highlander,2016,33538,24100,21707,2392,Loan,New,39,SUV
Toyota of Los Angeles,CA,2016-12-11,Toyota,Tundra,2017,80464,18005,14828,3176,Loan,New,32,Truck
Bay Area Toyota,CA,2022-05-25,Toyota,Camry,2016,61020,15652,12742,2909,Lease,New,52,Sedan
Toyota of Manhattan,NY,2022-07-18,Toyota,Tundra,2013,66788,21554,19475,2079,Loan,New,38,Truck
Toyota of Los Angeles,CA,2024-10-11,Toyota,Highlander,2019,40670,28227,23375,4852,Lease,New,42,SUV
Brooklyn Toyota,NY,2019-10-20,Toyota,Tundra,2023,45891,28363,26030,2332,Cash,Returning,46,Truck
Queens Toyota,NY,2021-07-11,Toyota,Highlander,2019,31310,21295,18049,3245,Loan,New,26,SUV
Austin Toyota,TX,2015-02-21,Toyota,Prius,2018,30504,22904,20782,2121,Loan,New,34,Hatchback
Bay Area Toyota,CA,2016-07-15,Toyota,Corolla,2012,96114,23233,20867,2366,Cash,Returning,51,Sedan
Brooklyn Toyota,NY,2020-01-12,Toyota,Camry,2016,73134,24772,20483,4288,Loan,New,72,Sedan
Queens Toyota,NY,2017-05-20,Toyota,Highlander,2020,36579,24383,22181,2201,Cash,New,44,SUV
Brooklyn Toyota,NY,2017-01-18,Toyota,Tundra,2012,93890,13588,12716,872,Lease,New,45,Truck
Queens Toyota,NY,2023-03-01,Toyota,Highlander,2019,24272,21768,18392,3375,Lease,New,58,SUV
Toyota of Houston,TX,2020-11-14,Toyota,Rav4,2020,78062,25159,23148,2011,Loan,New,31,SUV
Toyota of Houston,TX,2021-02-10,Toyota,Prius,2014,75151,18593,15367,3226,Loan,New,39,Hatchback
Queens Toyota,NY,2020-06-24,Toyota,Rav4,2018,52159,23172,21719,1452,Loan,Returning,27,SUV
San Diego Toyota,CA,2024-04-25,Toyota,Tundra,2011,73692,11974,10303,1671,Loan,New,27,Truck
Austin Toyota,TX,2017-08-23,Toyota,Rav4,2020,53192,38743,34044,4699,Loan,New,43,SUV
Dallas Toyota,TX,2020-04-20,Toyota,Tacoma,2021,56157,24947,22601,2346,Cash,Returning,44,Truck
Queens Toyota,NY,2024-05-06,Toyota,Tundra,2017,57856,31603,29179,2424,Loan,Returning,33,Truck
Toyota of Houston,TX,2023-09-08,Toyota,Tacoma,2010,91967,13832,11415,2417,Loan,Returning,49,Truck
Toyota of Los Angeles,CA,2019-05-15,Toyota,Rav4,2016,57965,30970,28246,2723,Cash,New,39,SUV
Toyota of Manhattan,NY,2020-10-12,Toyota,Highlander,2016,27651,21202,19145,2056,Loan,New,44,SUV
Bay Area Toyota,CA,2024-05-18,Toyota,Rav4,2011,70653,24018,20678,3340,Lease,New,53,SUV
Brooklyn Toyota,NY,2022-10-13,Toyota,Tundra,2016,31413,28045,24178,3867,Cash,New,56,Truck
Austin Toyota,TX,2022-10-18,Toyota,Corolla,2014,66342,18192,15269,2923,Loan,Returning,27,Sedan
Bay Area Toyota,CA,2024-05-14,Toyota,Tacoma,2017,63471,27722,24115,3606,Lease,Returning,28,Truck
San Diego Toyota,CA,2020-01-23,Toyota,Highlander,2016,49977,20304,19236,1067,Loan,New,34,SUV
Toyota of Los Angeles,CA,2020-03-07,Toyota,Tundra,2019,69644,28844,24385,4459,Loan,New,30,Truck
Toyota of Houston,TX,2023-02-25,Toyota,Prius,2024,29166,26501,23123,3378,Loan,New,71,Hatchback
Queens Toyota,NY,2020-08-15,Toyota,Tundra,2024,53603,30040,26921,3118,Loan,New,42,Truck
Toyota of Los Angeles,CA,2015-10-01,Toyota,Camry,2011,64660,22485,19541,2943,Loan,Returning,65,Sedan
San Diego Toyota,CA,2024-07-16,Toyota,Tacoma,2015,83980,15183,13543,1640,Loan,Returning,56,Truck
Bay Area Toyota,CA,2022-01-14,Toyota,Tundra,2013,49942,19036,17136,1900,Loan,New,48,Truck
Toyota of Houston,TX,2023-09-20,Toyota,Highlander,2011,64786,15633,14721,911,Lease,New,30,SUV
Bay Area Toyota,CA,2024-07-19,Toyota,Corolla,2016,41994,26662,24106,2556,Loan,New,29,Sedan
Toyota of Houston,TX,2019-12-02,Toyota,Camry,2014,114828,21057,18207,2850,Loan,Returning,44,Sedan
Bay Area Toyota,CA,2016-08-17,Toyota,Highlander,2011,84802,14258,12540,1718,Lease,New,74,SUV
San Diego Toyota,CA,2022-05-04,Toyota,Tundra,2013,45630,25754,20716,5037,Loan,New,35,Truck
Dallas Toyota,TX,2017-05-26,Toyota,Corolla,2019,53952,27718,25727,1991,Loan,New,30,Sedan
Bay Area Toyota,CA,2024-10-03,Toyota,Prius,2020,40601,30028,27859,2168,Loan,Returning,38,Hatchback
Toyota of Los Angeles,CA,2017-12-14,Toyota,Tundra,2010,107334,14735,12472,2262,Loan,New,31,Truck
San Diego Toyota,CA,2024-09-28,Toyota,Tacoma,2020,52805,18981,17020,1960,Loan,New,64,Truck
Toyota of Manhattan,NY,2018-08-24,Toyota,Tacoma,2024,30784,32083,29251,2832,Cash,New,20,Truck
Brooklyn Toyota,NY,2019-08-21,Toyota,Tundra,2013,103210,16378,13398,2979,Lease,New,58,Truck
San Diego Toyota,CA,2018-09-08,Toyota,Camry,2023,42103,28491,26257,2234,Loan,New,66,Sedan
Toyota of Los Angeles,CA,2023-08-20,Toyota,Highlander,2023,7140,31855,27632,4222,Loan,Returning,52,SUV
Queens Toyota,NY,2020-10-20,Toyota,Prius,2024,43981,23847,20058,3788,Loan,Returning,38,Hatchback
Austin Toyota,TX,2015-05-10,Toyota,Tacoma,2017,27029,23730,19370,4359,Loan,New,56,Truck
Brooklyn Toyota,NY,2023-09-18,Toyota,Tundra,2014,68213,24229,21054,3174,Cash,New,51,Truck
Queens Toyota,NY,2023-09-14,Toyota,Highlander,2011,43920,23276,19422,3854,Loan,New,36,SUV
Austin Toyota,TX,2015-04-18,Toyota,Tacoma,2014,92365,15104,13374,1729,Loan,New,40,Truck
Bay Area Toyota,CA,2024-01-25,Toyota,Corolla,2013,79293,23290,20255,3035,Cash,New,52,Sedan
Brooklyn Toyota,NY,2023-11-23,Toyota,Tundra,2022,70340,32063,30253,1810,Loan,New,39,Truck
Austin Toyota,TX,2023-02-09,Toyota,Tundra,2022,31547,28594,26601,1992,Lease,New,37,Truck
Toyota of Los Angeles,CA,2021-04-24,Toyota,Highlander,2020,32508,30084,24937,5147,Loan,New,49,SUV
Austin Toyota,TX,2024-03-13,Toyota,Tacoma,2018,38427,19148,18097,1051,Cash,New,29,Truck
Austin Toyota,TX,2023-02-04,Toyota,Corolla,2010,61181,8894,7544,1349,Loan,New,48,Sedan
Toyota of Los Angeles,CA,2022-11-19,Toyota,Corolla,2019,21463,26154,23050,3104,Loan,New,52,Sedan
Austin Toyota,TX,2016-01-01,Toyota,Prius,2011,82801,13716,11654,2062,Loan,New,23,Hatchback
Toyota of Manhattan,NY,2019-04-01,Toyota,Rav4,2015,64464,25174,20689,4485,Cash,New,26,SUV
San Diego Toyota,CA,2023-05-17,Toyota,Highlander,2022,41857,31208,27681,3527,Loan,New,32,SUV
Bay Area Toyota,CA,2019-09-11,Toyota,Highlander,2021,36724,36409,34005,2404,Loan,New,24,SUV
Toyota of Manhattan,NY,2024-03-09,Toyota,Rav4,2011,72974,14774,12899,1874,Loan,Returning,43,SUV
Austin Toyota,TX,2023-04-08,Toyota,Rav4,2016,59671,18389,16322,2067,Cash,New,37,SUV
Toyota of Los Angeles,CA,2021-09-03,Toyota,Camry,2022,4076,33847,28528,5318,Lease,New,27,Sedan
Toyota of Houston,TX,2015-06-21,Toyota,Highlander,2024,28552,34661,29690,4971,Loan,New,23,SUV
Toyota of Los Angeles,CA,2016-03-09,Toyota,Highlander,2020,42286,28779,26446,2333,Lease,Returning,34,SUV
Bay Area Toyota,CA,2020-04-12,Toyota,Highlander,2013,88057,20993,19490,1503,Lease,New,22,SUV
San Diego Toyota,CA,2024-06-05,Toyota,Prius,2024,72499,32213,28032,4181,Cash,Returning,61,Hatchback
San Diego Toyota,CA,2016-02-14,Toyota,Camry,2024,8480,35878,31488,4389,Lease,Returning,1,Sedan
Dallas Toyota,TX,2018-12-17,Toyota,Tundra,2011,80824,17160,14422,2738,Loan,New,28,Truck
Toyota of Manhattan,NY,2022-06-24,Toyota,Tundra,2022,8065,28183,23916,4267,Lease,New,18,Truck
Austin Toyota,TX,2020-09-23,Toyota,Prius,2013,35007,22916,20065,2850,Cash,New,37,Hatchback
Bay Area Toyota,CA,2024-04-17,Toyota,Camry,2015,81700,25272,20899,4373,Loan,New,24,Sedan
Bay Area Toyota,CA,2023-03-20,Toyota,Highlander,2013,71471,13020,10930,2090,Loan,Returning,31,SUV
Queens Toyota,NY,2018-05-02,Toyota,Corolla,2012,85957,23140,21315,1825,Cash,New,58,Sedan
Dallas Toyota,TX,2022-04-02,Toyota,Tundra,2021,35213,32550,30322,2228,Loan,New,45,Truck
Toyota of Manhattan,NY,2021-05-03,Toyota,Tundra,2014,66157,26779,24798,1981,Cash,New,51,Truck
Brooklyn Toyota,NY,2024-02-06,Toyota,Corolla,2021,22144,35518,33690,1828,Loan,New,53,Sedan
San Diego Toyota,CA,2023-04-03,Toyota,Highlander,2016,43416,25576,23011,2564,Loan,New,14,SUV
Toyota of Manhattan,NY,2017-12-12,Toyota,Prius,2018,39731,22855,19059,3795,Loan,Returning,34,Hatchback
Dallas Toyota,TX,2019-09-10,Toyota,Prius,2015,45103,31722,26733,4989,Loan,New,30,Hatchback
Toyota of Los Angeles,CA,2024-02-20,Toyota,Rav4,2010,105074,15356,13720,1636,Cash,Returning,13,SUV
Queens Toyota,NY,2020-09-04,Toyota,Corolla,2014,85255,18447,17034,1412,Loan,New,26,Sedan
Toyota of Houston,TX,2021-12-22,Toyota,Tundra,2023,16620,25863,23408,2454,Cash,New,40,Truck
Brooklyn Toyota,NY,2015-05-06,Toyota,Tundra,2010,73602,17292,16157,1134,Loan,Returning,52,Truck
Toyota of Manhattan,NY,2018-10-09,Toyota,Corolla,2015,43447,28172,24127,4045,Cash,New,65,Sedan
San Diego Toyota,CA,2017-11-16,Toyota,Highlander,2018,67222,22516,20704,1811,Loan,New,34,SUV
Dallas Toyota,TX,2020-06-14,Toyota,Camry,2017,37233,18967,17031,1936,Cash,New,12,Sedan
San Diego Toyota,CA,2017-11-19,Toyota,Rav4,2019,74350,24541,20479,4061,Loan,New,59,SUV
Toyota of Manhattan,NY,2015-02-19,Toyota,Tundra,2012,84927,23325,21988,1336,Loan,New,34,Truck
Toyota of Manhattan,NY,2018-06-09,Toyota,Highlander,2011,71158,18573,15930,2642,Loan,Returning,38,SUV
Austin Toyota,TX,2020-02-08,Toyota,Tundra,2010,104968,11306,9370,1935,Loan,Returning,63,Truck
Dallas Toyota,TX,2024-07-13,Toyota,Prius,2019,50534,23570,20819,2751,Loan,Returning,49,Hatchback
Toyota of Houston,TX,2019-09-18,Toyota,Tundra,2012,104017,17252,16251,1001,Loan,Returning,41,Truck
Brooklyn Toyota,NY,2024-05-04,Toyota,Highlander,2015,31421,29916,26989,2926,Lease,New,41,SUV
Toyota of Houston,TX,2023-04-14,Toyota,Corolla,2020,23867,28334,26061,2272,Cash,New,18,Sedan
San Diego Toyota,CA,2020-01-22,Toyota,Tacoma,2021,0,26311,22689,3622,Cash,Returning,35,Truck
Queens Toyota,NY,2017-11-26,Toyota,Tacoma,2014,72487,21233,17409,3823,Cash,Returning,21,Truck
Dallas Toyota,TX,2021-05-25,Toyota,Corolla,2018,77974,26172,24087,2085,Loan,New,29,Sedan
Toyota of Houston,TX,2023-12-08,Toyota,Prius,2024,41305,29874,26717,3156,Cash,New,30,Hatchback
Bay Area Toyota,CA,2018-08-14,Toyota,Prius,2019,25568,31963,27994,3969,Loan,New,15,Hatchback
Dallas Toyota,TX,2016-08-18,Toyota,Tacoma,2014,41079,21557,18868,2688,Cash,New,45,Truck
Austin Toyota,TX,2016-09-27,Toyota,Camry,2010,58489,20010,18552,1458,Loan,Returning,44,Sedan
Toyota of Manhattan,NY,2018-05-20,Toyota,Rav4,2012,83337,15605,14466,1138,Loan,New,44,SUV
Bay Area Toyota,CA,2018-11-28,Toyota,Corolla,2013,102628,20227,18278,1948,Loan,New,52,Sedan
Brooklyn Toyota,NY,2015-01-18,Toyota,Tacoma,2013,54894,18943,15279,3664,Loan,New,19,Truck
San Diego Toyota,CA,2020-12-28,Toyota,Corolla,2023,26128,38804,32422,6381,Loan,New,57,Sedan
Toyota of Houston,TX,2020-07-09,Toyota,Tacoma,2014,38370,31185,26112,5072,Loan,New,13,Truck
